date,option_code,underlying_price,strike,option_type,mid,bid,ask,close_price,volume,open_interest,expiry,days_to_expiry,iv
2025-05-04,OPT_30D_100_call,100.0248,100,call,2.9,2.871,2.929,2.8796,45,39,2025-06-03,30,0.2418
2025-05-04,OPT_30D_100_put,100.0248,100,put,2.6289,2.6027,2.6552,2.6298,59,2,2025-06-03,30,0.2418
2025-05-04,OPT_30D_105_call,100.0248,105,call,0.9826,0.9728,0.9924,0.9769,6,47,2025-06-03,30,0.2318
2025-05-04,OPT_30D_105_put,100.0248,105,put,5.6992,5.6422,5.7562,5.7099,96,40,2025-06-03,30,0.2318
2025-05-04,OPT_30D_110_call,100.0248,110,call,0.3434,0.3384,0.3484,0.3429,68,22,2025-06-03,30,0.2492
2025-05-04,OPT_30D_110_put,100.0248,110,put,10.0476,9.9472,10.1481,10.047,3,45,2025-06-03,30,0.2492
2025-05-04,OPT_30D_120_call,100.0248,120,call,0.0122,0.0072,0.0172,0.0123,31,26,2025-06-03,30,0.2436
2025-05-04,OPT_30D_120_put,100.0248,120,put,19.6919,19.495,19.8888,19.5717,54,9,2025-06-03,30,0.2436
2025-05-04,OPT_30D_80_call,100.0248,80,call,20.2244,20.0221,20.4266,20.2899,15,7,2025-06-03,30,0.262
2025-05-04,OPT_30D_80_put,100.0248,80,put,0.0038,0.0,0.0075,0.0038,5,43,2025-06-03,30,0.262
2025-05-04,OPT_30D_90_call,100.0248,90,call,10.6181,10.5119,10.7243,10.6589,2,48,2025-06-03,30,0.2928
2025-05-04,OPT_30D_90_put,100.0248,90,put,0.3716,0.3666,0.3766,0.3708,18,9,2025-06-03,30,0.2928
2025-05-04,OPT_30D_95_call,100.0248,95,call,6.3494,6.2859,6.4129,6.3571,43,14,2025-06-03,30,0.2712
2025-05-04,OPT_30D_95_put,100.0248,95,put,1.0906,1.0797,1.1015,1.0802,61,6,2025-06-03,30,0.2712
2025-05-04,OPT_60D_100_call,100.0248,100,call,4.3798,4.336,4.4236,4.3614,86,31,2025-07-03,60,0.2552
2025-05-04,OPT_60D_100_put,100.0248,100,put,3.863,3.8244,3.9016,3.857,33,3,2025-07-03,60,0.2552
2025-05-04,OPT_60D_105_call,100.0248,105,call,1.7572,1.7396,1.7748,1.7467,72,31,2025-07-03,60,0.2147
